Episodic Return: 266.8536071777344, Time Step 413000
Episodic Return: 169.72109985351562, Time Step 414000
Episodic Return: 218.35585021972656, Time Step 415000
Episodic Return: 188.54837036132812, Time Step 416000
Episodic Return: 159.5149383544922, Time Step 417000
Episodic Return: 227.32582092285156, Time Step 418000
Episodic Return: 250.2964630126953, Time Step 419000
Episodic Return: 239.9362335205078, Time Step 420000
Episodic Return: 156.39598083496094, Time Step 421000
Episodic Return: 243.6717071533203, Time Step 422000
Episodic Return: 271.6023254394531, Time Step 423000
Episodic Return: 272.02044677734375, Time Step 424000
Episodic Return: 308.0263671875, Time Step 425000
Episodic Return: 303.9596252441406, Time Step 426000
Episodic Return: 156.15505981445312, Time Step 427000
Episodic Return: 339.3905334472656, Time Step 428000
Episodic Return: 166.2664794921875, Time Step 429000
Episodic Return: 104.17947387695312, Time Step 430000
Episodic Return: 255.36087036132812, Time Step 431000
Episodic Return: 208.7976837158203, Time Step 432000
Episodic Return: 313.6602783203125, Time Step 433000
Episodic Return: 204.75498962402344, Time Step 434000
Episodic Return: 217.91746520996094, Time Step 435000
Episodic Return: 330.3748779296875, Time Step 436000
Episodic Return: 285.7086486816406, Time Step 437000
Episodic Return: 258.74993896484375, Time Step 438000
Episodic Return: 207.5891876220703, Time Step 439000
Episodic Return: 277.0426940917969, Time Step 440000
Episodic Return: 206.95028686523438, Time Step 441000
Episodic Return: 316.6298828125, Time Step 442000
Episodic Return: 263.8489685058594, Time Step 443000
Episodic Return: 247.9174346923828, Time Step 444000
Episodic Return: 236.7410888671875, Time Step 445000
Episodic Return: 332.6224060058594, Time Step 446000
Episodic Return: 276.0679016113281, Time Step 447000
Episodic Return: 349.9253234863281, Time Step 448000
Episodic Return: 180.86647033691406, Time Step 449000
Episodic Return: 329.0478210449219, Time Step 450000
Episodic Return: 267.5439147949219, Time Step 451000
Episodic Return: 298.00177001953125, Time Step 452000
Episodic Return: 310.91326904296875, Time Step 453000
Episodic Return: 190.2747344970703, Time Step 454000
Episodic Return: 316.9676818847656, Time Step 455000
Episodic Return: 243.13966369628906, Time Step 456000
Episodic Return: 205.9147491455078, Time Step 457000
Episodic Return: 117.8255615234375, Time Step 458000
Episodic Return: 313.03179931640625, Time Step 459000
Episodic Return: 252.83543395996094, Time Step 460000
Episodic Return: 260.87762451171875, Time Step 461000
Episodic Return: 279.1548156738281, Time Step 462000
Episodic Return: 314.57891845703125, Time Step 463000
Episodic Return: 328.72015380859375, Time Step 464000
Episodic Return: 317.986083984375, Time Step 465000
Episodic Return: 241.85366821289062, Time Step 466000
Episodic Return: 282.843505859375, Time Step 467000
Episodic Return: 123.48579406738281, Time Step 468000
Episodic Return: 303.5811767578125, Time Step 469000
Episodic Return: 307.0382995605469, Time Step 470000
Episodic Return: 332.62701416015625, Time Step 471000
Episodic Return: 190.03729248046875, Time Step 472000
Episodic Return: 332.10443115234375, Time Step 473000
Episodic Return: 311.8671875, Time Step 474000
Episodic Return: 228.5552215576172, Time Step 475000
Episodic Return: 279.15533447265625, Time Step 476000
Episodic Return: 244.62815856933594, Time Step 477000
Episodic Return: 100.81395721435547, Time Step 478000
Episodic Return: 139.67507934570312, Time Step 479000
Episodic Return: 124.90403747558594, Time Step 480000
Episodic Return: 190.38670349121094, Time Step 481000
Episodic Return: 148.58914184570312, Time Step 482000
Episodic Return: 236.4860382080078, Time Step 483000
Episodic Return: 237.56687927246094, Time Step 484000
Episodic Return: 266.4744873046875, Time Step 485000
Episodic Return: 259.7286682128906, Time Step 486000
Episodic Return: 48.93940734863281, Time Step 487000
Episodic Return: 230.5393524169922, Time Step 488000
Episodic Return: 216.1845703125, Time Step 489000
Episodic Return: 179.76702880859375, Time Step 490000
Episodic Return: 262.90191650390625, Time Step 491000
Episodic Return: 246.21009826660156, Time Step 492000
Episodic Return: 274.3542175292969, Time Step 493000
Episodic Return: 106.24491119384766, Time Step 494000
Episodic Return: 250.20843505859375, Time Step 495000
Episodic Return: 245.305419921875, Time Step 496000
Episodic Return: 336.4846496582031, Time Step 497000
Episodic Return: 290.4415588378906, Time Step 498000
Episodic Return: 291.4945983886719, Time Step 499000
Episodic Return: 225.04183959960938, Time Step 500000
Episodic Return: 206.42921447753906, Time Step 501000
Episodic Return: 308.54376220703125, Time Step 502000
Episodic Return: 279.8235168457031, Time Step 503000
Episodic Return: 236.5956573486328, Time Step 504000
Episodic Return: 240.71629333496094, Time Step 505000
Episodic Return: 112.34121704101562, Time Step 506000
Episodic Return: 250.9829559326172, Time Step 507000
Episodic Return: 226.710693359375, Time Step 508000
Episodic Return: 240.19757080078125, Time Step 509000
Episodic Return: 257.90606689453125, Time Step 510000
Episodic Return: 267.9985656738281, Time Step 511000
Episodic Return: 164.406005859375, Time Step 512000
Episodic Return: 257.59417724609375, Time Step 513000
Episodic Return: 331.1971435546875, Time Step 514000
Episodic Return: 266.2021789550781, Time Step 515000
Episodic Return: 272.7357482910156, Time Step 516000
Episodic Return: 301.272216796875, Time Step 517000
Episodic Return: 306.301025390625, Time Step 518000
Episodic Return: 211.3343048095703, Time Step 519000
Episodic Return: 293.9087829589844, Time Step 520000
Episodic Return: 320.4165344238281, Time Step 521000
Episodic Return: 224.25059509277344, Time Step 522000
Episodic Return: 263.7112121582031, Time Step 523000
Episodic Return: 156.54696655273438, Time Step 524000
Episodic Return: 187.833984375, Time Step 525000
Episodic Return: 303.4870300292969, Time Step 526000
Episodic Return: 350.5802917480469, Time Step 527000
Episodic Return: 295.0016784667969, Time Step 528000
Episodic Return: 301.4444274902344, Time Step 529000
Episodic Return: 346.18292236328125, Time Step 530000
Episodic Return: 277.7022399902344, Time Step 531000
Episodic Return: 328.59588623046875, Time Step 532000
Episodic Return: 67.61084747314453, Time Step 533000
Episodic Return: 128.7224884033203, Time Step 534000
Episodic Return: 288.6166687011719, Time Step 535000
Episodic Return: 211.49160766601562, Time Step 536000
Episodic Return: 300.28857421875, Time Step 537000
Episodic Return: 275.4703674316406, Time Step 538000
Episodic Return: 279.3937683105469, Time Step 539000
Episodic Return: 183.1405487060547, Time Step 540000
Episodic Return: 296.42449951171875, Time Step 541000
Episodic Return: 295.11676025390625, Time Step 542000
Episodic Return: 225.3827667236328, Time Step 543000
Episodic Return: 246.5214385986328, Time Step 544000
Episodic Return: 358.9609375, Time Step 545000
Episodic Return: 255.5089569091797, Time Step 546000
Episodic Return: 272.4776916503906, Time Step 547000
Episodic Return: 317.97845458984375, Time Step 548000
Episodic Return: 335.0889587402344, Time Step 549000
Episodic Return: 243.98681640625, Time Step 550000
Episodic Return: 306.59014892578125, Time Step 551000
Episodic Return: 284.2295227050781, Time Step 552000
Episodic Return: 187.9474334716797, Time Step 553000
Episodic Return: 285.2688293457031, Time Step 554000
Episodic Return: 106.8992691040039, Time Step 555000
