Episodic Return: 178.33534240722656, Time Step 287000
Episodic Return: 257.5019836425781, Time Step 288000
Episodic Return: 231.84112548828125, Time Step 289000
Episodic Return: 273.67071533203125, Time Step 290000
Episodic Return: 276.05023193359375, Time Step 291000
Episodic Return: 303.8575439453125, Time Step 292000
Episodic Return: 239.88880920410156, Time Step 293000
Episodic Return: 319.1390686035156, Time Step 294000
Episodic Return: 234.36952209472656, Time Step 295000
Episodic Return: 235.7083740234375, Time Step 296000
Episodic Return: 326.96441650390625, Time Step 297000
Episodic Return: 250.92344665527344, Time Step 298000
Episodic Return: 234.216796875, Time Step 299000
Episodic Return: 284.76788330078125, Time Step 300000
Episodic Return: 223.94590759277344, Time Step 301000
Episodic Return: 308.6171875, Time Step 302000
Episodic Return: 288.3503723144531, Time Step 303000
Episodic Return: 161.37477111816406, Time Step 304000
Episodic Return: 308.75799560546875, Time Step 305000
Episodic Return: 216.19549560546875, Time Step 306000
Episodic Return: 284.0671691894531, Time Step 307000
Episodic Return: 261.689208984375, Time Step 308000
Episodic Return: 309.83758544921875, Time Step 309000
Episodic Return: 276.17669677734375, Time Step 310000
Episodic Return: 307.0574645996094, Time Step 311000
Episodic Return: 330.38232421875, Time Step 312000
Episodic Return: 312.52801513671875, Time Step 313000
Episodic Return: 271.2160339355469, Time Step 314000
Episodic Return: 286.4082946777344, Time Step 315000
Episodic Return: 311.2778625488281, Time Step 316000
Episodic Return: 232.862060546875, Time Step 317000
Episodic Return: 330.628173828125, Time Step 318000
Episodic Return: 288.7323913574219, Time Step 319000
Episodic Return: 347.19085693359375, Time Step 320000
Episodic Return: 251.48001098632812, Time Step 321000
Episodic Return: 317.881103515625, Time Step 322000
Episodic Return: 238.9488525390625, Time Step 323000
Episodic Return: 310.8629150390625, Time Step 324000
Episodic Return: 301.5852966308594, Time Step 325000
Episodic Return: 312.4097900390625, Time Step 326000
Episodic Return: 331.043212890625, Time Step 327000
Episodic Return: 274.4028015136719, Time Step 328000
Episodic Return: 303.8484802246094, Time Step 329000
Episodic Return: 319.49200439453125, Time Step 330000
Episodic Return: 325.0420227050781, Time Step 331000
Episodic Return: 314.5401306152344, Time Step 332000
Episodic Return: 330.26947021484375, Time Step 333000
Episodic Return: 342.77899169921875, Time Step 334000
Episodic Return: 306.261962890625, Time Step 335000
Episodic Return: 327.75146484375, Time Step 336000
Episodic Return: 343.7472839355469, Time Step 337000
Episodic Return: 333.51959228515625, Time Step 338000
Episodic Return: 200.0558624267578, Time Step 339000
Episodic Return: 284.679443359375, Time Step 340000
Episodic Return: 320.2017517089844, Time Step 341000
Episodic Return: 308.0763854980469, Time Step 342000
Episodic Return: 313.1656799316406, Time Step 343000
Episodic Return: 322.86358642578125, Time Step 344000
Episodic Return: 301.6339416503906, Time Step 345000
Episodic Return: 234.8341522216797, Time Step 346000
Episodic Return: 323.75738525390625, Time Step 347000
Episodic Return: 316.63153076171875, Time Step 348000
Episodic Return: 266.47698974609375, Time Step 349000
Episodic Return: 305.59088134765625, Time Step 350000
Episodic Return: 340.08221435546875, Time Step 351000
Episodic Return: 324.051025390625, Time Step 352000
Episodic Return: 286.46875, Time Step 353000
Episodic Return: 304.64691162109375, Time Step 354000
Episodic Return: 336.4440612792969, Time Step 355000
Episodic Return: 333.0186462402344, Time Step 356000
Episodic Return: 275.9048156738281, Time Step 357000
Episodic Return: 192.95938110351562, Time Step 358000
Episodic Return: 314.4513244628906, Time Step 359000
Episodic Return: 326.63031005859375, Time Step 360000
Episodic Return: 305.11181640625, Time Step 361000
Episodic Return: 301.8497619628906, Time Step 362000
Episodic Return: 310.396240234375, Time Step 363000
Episodic Return: 322.0616455078125, Time Step 364000
Episodic Return: 326.5045471191406, Time Step 365000
Episodic Return: 329.32489013671875, Time Step 366000
Episodic Return: 284.56494140625, Time Step 367000
Episodic Return: 177.34629821777344, Time Step 368000
Episodic Return: 159.1745147705078, Time Step 369000
Episodic Return: 358.7572021484375, Time Step 370000
Episodic Return: 359.4325866699219, Time Step 371000
Episodic Return: 357.4239196777344, Time Step 372000
Episodic Return: 317.5027770996094, Time Step 373000
Episodic Return: 308.15777587890625, Time Step 374000
Episodic Return: 349.16583251953125, Time Step 375000
Episodic Return: 343.3625793457031, Time Step 376000
Episodic Return: 331.34783935546875, Time Step 377000
Episodic Return: 333.8084411621094, Time Step 378000
Episodic Return: 176.42259216308594, Time Step 379000
Episodic Return: 239.7558135986328, Time Step 380000
Episodic Return: 311.87945556640625, Time Step 381000
Episodic Return: 295.3313293457031, Time Step 382000
Episodic Return: 241.8769989013672, Time Step 383000
Episodic Return: 326.53082275390625, Time Step 384000
Episodic Return: 302.10546875, Time Step 385000
Episodic Return: 342.0503845214844, Time Step 386000
Episodic Return: 316.9067687988281, Time Step 387000
Episodic Return: 363.9403076171875, Time Step 388000
Episodic Return: 317.45184326171875, Time Step 389000
Episodic Return: 314.9299011230469, Time Step 390000
Episodic Return: 297.62872314453125, Time Step 391000
Episodic Return: 322.0875244140625, Time Step 392000
Episodic Return: 337.8021545410156, Time Step 393000
Episodic Return: 321.209228515625, Time Step 394000
Episodic Return: 251.43727111816406, Time Step 395000
Episodic Return: 334.4278869628906, Time Step 396000
Episodic Return: 212.4093475341797, Time Step 397000
Episodic Return: 331.3628845214844, Time Step 398000
Episodic Return: 321.53533935546875, Time Step 399000
Episodic Return: 239.51727294921875, Time Step 400000
Episodic Return: 314.8896789550781, Time Step 401000
Episodic Return: 339.3645935058594, Time Step 402000
Episodic Return: 308.4296875, Time Step 403000
Episodic Return: 217.3408966064453, Time Step 404000
Episodic Return: 335.2554931640625, Time Step 405000
Episodic Return: 348.7937927246094, Time Step 406000
Episodic Return: 359.5740966796875, Time Step 407000
Episodic Return: 361.3564147949219, Time Step 408000
Episodic Return: 307.6152648925781, Time Step 409000
Episodic Return: 339.9543762207031, Time Step 410000
Episodic Return: 311.195068359375, Time Step 411000
Episodic Return: 326.35369873046875, Time Step 412000
Episodic Return: 349.5884094238281, Time Step 413000
Episodic Return: 356.65380859375, Time Step 414000
Episodic Return: 320.8714904785156, Time Step 415000
Episodic Return: 357.4772644042969, Time Step 416000
Episodic Return: 297.63397216796875, Time Step 417000
Episodic Return: 358.5899963378906, Time Step 418000
Episodic Return: 361.75274658203125, Time Step 419000
Episodic Return: 218.81100463867188, Time Step 420000
Episodic Return: 360.7939147949219, Time Step 421000
Episodic Return: 352.8023986816406, Time Step 422000
Episodic Return: 339.0044250488281, Time Step 423000
Episodic Return: 358.7848205566406, Time Step 424000
Episodic Return: 348.7763977050781, Time Step 425000
Episodic Return: 369.46917724609375, Time Step 426000
Episodic Return: 342.6292419433594, Time Step 427000
Episodic Return: 361.666015625, Time Step 428000
Episodic Return: 348.0229797363281, Time Step 429000
Episodic Return: 312.9899597167969, Time Step 430000
Episodic Return: 349.70391845703125, Time Step 431000
Episodic Return: 354.1756286621094, Time Step 432000
Episodic Return: 340.9294738769531, Time Step 433000
